0.02 32 5.65685
0.06 19 4.3589
0.1 26 5.09902
0.14 26 5.09902
0.18 30 5.47723
0.22 33 5.74456
0.26 21 4.58258
0.3 28 5.2915
0.34 38 6.16441
0.38 27 5.19615
0.42 40 6.32456
0.46 34 5.83095
0.5 42 6.48074
0.54 54 7.34847
0.58 56 7.48331
0.62 58 7.61577
0.66 74 8.60233
0.7 109 10.4403
0.74 93 9.64365
0.78 149 12.2066
0.82 159 12.6095
0.86 230 15.1658
0.9 337 18.3576
0.94 498 22.3159
0.98 614 24.779
1.02 623 24.96
1.06 452 21.2603
1.1 306 17.4929
1.14 219 14.7986
1.18 124 11.1355
1.22 90 9.48683
1.26 84 9.16515
1.3 49 7
1.34 42 6.48074
1.38 28 5.2915
1.42 24 4.89898
1.46 19 4.3589
1.5 21 4.58258
1.54 10 3.16228
1.58 14 3.74166
1.62 16 4
1.66 5 2.23607
1.7 11 3.31662
1.74 7 2.64575
1.78 7 2.64575
1.82 6 2.44949
1.86 5 2.23607
1.9 5 2.23607
1.94 1 1
1.98 5 2.23607
